"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
28,"Travel_Rarely","Production",15,4,1,"Male",3,1,2,"L","Y",3,"N","Machinists",3485,14935,2,"No",11,3,0,"L",5,"N",1,0,0,0,0,44
33,"Travel_Rarely","Finance",15,3,1,"Female",2,2,3,"H","Y",3,"Y","Accountant",6253,6878,7,"No",15,2,1,"H",6,"Y",2,7,2,1,6,69
29,"Travel_Frequently","Research & Development",9,4,2,"Male",1,1,4,"H","N",3,"N","Research and Design Specialists",2720,18959,9,"No",18,4,1,"L",10,"Y",3,10,7,2,8,65
45,"Non-Travel","Production",8,2,3,"Male",3,2,2,"L","Y",3,"Y","Machinists",4447,23163,8,"No",12,2,0,"L",9,"Y",2,9,7,0,8,52
50,"Travel_Frequently","Research & Development",1,3,1,"Female",3,5,1,"L","Y",2,"Y","Research Director",18172,9755,3,"Yes",19,1,0,"L",28,"Y",2,8,3,0,7,42
45,"Travel_Frequently","Research & Development",12,4,1,"Male",4,2,3,"H","N",3,"Y","Manufacturing Director",6434,5118,4,"No",17,4,1,"H",9,"Y",3,3,2,0,2,71
48,"Travel_Rarely","Sales",3,1,2,"Male",4,2,1,"H","N",3,"Y","Sales Executive",8120,18597,3,"No",12,4,0,"L",12,"Y",3,2,2,2,2,55
34,"Travel_Frequently","Production",21,3,1,"Male",1,2,2,"L","N",1,"Y","Machinists",6074,22887,1,"Yes",24,4,0,"L",9,"N",3,9,7,0,6,32
38,"Travel_Rarely","Sales",3,3,1,"Male",2,1,2,"L","Y",3,"Y","Sales Representative",2858,11473,5,"No",14,1,0,"L",20,"Y",2,1,0,0,0,54
30,"Travel_Rarely","Sales",25,3,2,"Male",2,2,1,"L","N",3,"Y","Sales Executive",9714,5323,8,"No",11,4,1,"L",10,"N",3,10,8,6,7,32
55,"Travel_Rarely","Research & Development",14,3,4,"Male",3,5,1,"L","N",2,"Y","Manager",19859,21199,7,"Yes",13,4,1,"L",24,"N",3,5,2,1,4,32
49,"Travel_Rarely","Finance",16,4,2,"Male",3,2,2,"L","N",1,"N","Accountant",9931,10924,9,"No",16,4,0,"H",6,"N",1,5,6,3,3,28
52,"Travel_Rarely","Production",4,3,3,"Female",2,1,2,"H","N",3,"Y","Machinists",3212,3300,7,"No",15,2,0,"H",6,"Y",2,2,2,2,2,61
25,"Travel_Rarely","IT_Support",16,3,1,"Female",2,2,2,"H","N",3,"Y","IT specialists",8884,9772,6,"Yes",20,3,1,"L",9,"N",1,10,3,3,7,49
29,"Travel_Rarely","Research & Development",1,3,3,"Male",4,1,1,"H","N",2,"Y","Research and Design Specialists",2451,22376,8,"No",18,1,2,"H",5,"Y",2,1,0,0,0,56
55,"Travel_Rarely","Sales",25,5,1,"Female",3,4,2,"H","N",2,"Y","Manager",16835,9873,3,"No",23,4,0,"L",37,"Y",3,10,9,7,7,57
54,"Travel_Rarely","IT_Support",7,3,2,"Male",3,2,1,"L","Y",3,"Y","IT specialists",6457,7103,7,"No",15,2,0,"L",10,"Y",2,5,2,1,4,72
37,"Travel_Rarely","Research & Development",12,2,3,"Female",2,1,2,"H","Y",3,"Y","Research and Design Specialists",3920,18697,2,"No",14,1,1,"H",17,"Y",2,3,1,0,2,73
31,"Travel_Rarely","Finance",25,3,2,"Female",3,2,1,"L","Y",3,"Y","Accountant",8333,9166,1,"Yes",19,1,0,"H",9,"N",1,2,5,1,7,51
40,"Travel_Rarely","Research & Development",6,3,1,"Female",2,3,2,"L","Y",1,"Y","Manufacturing Director",10435,25800,5,"No",13,4,2,"L",18,"Y",3,18,15,14,12,50
58,"Travel_Rarely","Research & Development",14,4,3,"Female",2,3,2,"L","N",3,"Y","Manufacturing Director",10008,12023,2,"Yes",14,4,0,"L",31,"Y",2,10,9,5,9,59
36,"Travel_Frequently","Research & Development",21,3,3,"Male",3,1,1,"L","N",2,"N","Research and Design Specialists",3692,9256,3,"No",12,3,0,"H",12,"N",2,11,10,0,7,47
29,"Travel_Rarely","Finance",19,3,1,"Male",3,2,2,"L","N",2,"Y","Accountant",9112,10023,3,"No",20,4,1,"H",8,"Y",2,8,6,3,5,40
30,"Travel_Rarely","IT_Support",8,4,2,"Female",2,4,1,"H","Y",3,"N","Machinists",NA,5851,7,"No",15,4,0,"H",10,"N",2,9,3,2,6,73
26,"Travel_Rarely","Sales",7,2,1,"Male",3,2,2,"L","N",1,"N","Sales Executive",4306,4267,5,"No",12,1,2,"L",8,"N",3,0,0,0,0,44
48,"Travel_Rarely","Sales",23,1,1,"Female",3,3,2,"H","N",2,"Y","Manager",12504,23978,3,"No",21,2,1,"L",15,"Y",1,0,0,0,0,52
35,"Travel_Rarely","Production",2,3,1,"Female",3,1,1,"H","N",2,"N","Machinists",2074,26619,4,"Yes",12,4,1,"L",1,"N",3,1,0,0,0,28
