"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
33,"Non-Travel","Research & Development",12,3,4,"Male",3,2,2,"L","Y",1,"Y","Research and Design Specialists",3055,6194,7,"No",15,4,2,"L",11,"Y",2,9,8,1,7,70
40,"Travel_Rarely","Finance",5,4,1,"Male",3,2,2,"L","Y",3,"Y","Accountant",9039,9943,2,"No",15,3,0,"L",7,"N",3,4,2,2,3,84
45,"Non-Travel","Sales",17,4,2,"Female",2,2,1,"L","Y",3,"Y","Sales Executive",5593,17970,4,"No",13,4,1,"L",15,"Y",3,15,10,4,12,55
26,"Travel_Rarely","Finance",6,3,2,"Female",2,2,4,"H","N",1,"Y","Accountant",9566,10523,2,"Yes",15,4,1,"L",9,"N",3,5,3,1,2,27
32,"Travel_Frequently","Production",1,2,4,"Male",3,1,2,"H","N",3,"Y","Machinists",3068,11864,0,"No",13,3,0,"H",8,"Y",2,7,7,3,6,61
49,"Travel_Rarely","IT_Support",19,3,2,"Male",3,4,2,"L","N",3,"N","IT specialists",5931,6524,2,"No",19,2,0,"H",5,"N",2,2,7,3,7,38
32,"Travel_Rarely","Production",8,2,4,"Male",3,2,2,"L","N",3,"N","Machinists",4883,22845,9,"No",18,1,1,"H",10,"N",3,10,4,1,1,41
34,"Travel_Rarely","Research & Development",10,4,3,"Female",2,2,2,"H","N",3,"Y","Research and Design Specialists",4505,15000,6,"No",15,3,1,"H",12,"N",3,1,0,0,0,65
58,"Travel_Rarely","Research & Development",16,3,2,"Female",2,1,2,"L","N",2,"N","Research and Design Specialists",3346,11873,4,"Yes",20,2,1,"L",9,"N",2,1,0,0,0,36
30,"Travel_Rarely","Sales",3,4,3,"Male",3,3,2,"H","Y",2,"Y","Sales Executive",9250,17799,4,"No",12,2,1,"H",9,"Y",3,4,2,1,3,52
29,"Travel_Rarely","Research & Development",2,4,3,"Female",3,1,1,"L","N",1,"N","Research and Design Specialists",2514,26968,6,"No",22,1,1,"L",11,"N",3,7,5,1,7,47
28,"Travel_Frequently","Sales",17,3,1,"Male",3,1,1,"L","N",3,"N","Sales Representative",2909,15747,1,"No",15,4,1,"L",5,"N",4,3,2,1,2,27
45,"Travel_Rarely","Research & Development",13,2,2,"Female",2,2,2,"L","Y",2,"Y","Manufacturing Director",5906,23888,5,"No",13,4,2,"H",10,"Y",2,9,8,3,8,61
43,"Travel_Frequently","Finance",2,4,1,"Female",3,3,3,"L","N",1,"Y","Accountant",8016,8818,3,"No",17,1,0,"H",7,"N",3,2,4,3,7,29
33,"Travel_Rarely","Research & Development",22,2,2,"Female",3,2,2,"L","Y",3,"N","Customercare Representative",4878,21653,5,"Yes",13,1,1,"L",10,"Y",3,9,7,8,1,61
34,"Travel_Rarely","Sales",1,3,3,"Male",3,3,4,"L","Y",1,"Y","Sales Executive",9713,24444,3,"Yes",13,4,3,"H",9,"Y",3,5,3,1,0,63
44,"Travel_Rarely","Research & Development",3,3,4,"Male",3,2,4,"H","Y",3,"Y","Customercare Representative",5933,5197,3,"No",12,4,0,"L",10,"Y",2,5,2,2,3,64
34,"Travel_Frequently","Production",21,3,2,"Male",4,5,1,"L","N",3,"N","Production Supervisors",5959,7151,5,"No",19,4,1,"L",6,"N",2,5,4,3,6,33
47,"Travel_Rarely","Finance",6,4,2,"Male",3,2,2,"L","Y",2,"N","Accountant",9040,9944,6,"No",20,2,1,"L",10,"N",1,3,5,2,5,65
39,"Travel_Rarely","Finance",21,3,2,"Male",3,2,2,"L","Y",2,"Y","Accountant",9343,10277,1,"No",20,2,1,"L",9,"Y",1,10,6,2,3,67
49,"Travel_Rarely","Research & Development",17,3,3,"Male",3,4,2,"L","Y",3,"Y","Manager",15379,22384,5,"No",14,1,0,"L",23,"Y",3,8,7,0,0,60
47,"Travel_Rarely","Finance",15,3,1,"Female",3,2,1,"L","Y",3,"Y","Accountant",8029,8832,5,"Yes",15,1,0,"H",6,"Y",3,4,2,3,2,64
27,"Travel_Rarely","Production",22,1,1,"Male",3,1,2,"L","N",3,"N","Machinists",3468,16632,9,"No",12,4,1,"L",6,"N",3,2,2,2,2,42
29,"Travel_Rarely","Sales",7,3,3,"Male",3,1,1,"L","N",3,"N","Sales Representative",2642,2755,6,"No",11,3,0,"L",1,"N",3,1,0,0,0,29
40,"Travel_Rarely","Sales",11,3,2,"Female",4,4,4,"L","Y",2,"Y","IT specialists",8070,8877,3,"No",15,1,0,"L",7,"Y",3,5,4,1,4,66
32,"Travel_Rarely","Finance",21,3,1,"Male",3,2,2,"L","Y",1,"N","Accountant",8255,9081,1,"Yes",15,4,0,"L",10,"N",2,3,4,1,7,56
32,"Travel_Rarely","Production",2,4,4,"Male",3,1,2,"L","Y",2,"N","Machinists",1393,24852,5,"No",12,1,0,"L",1,"N",3,1,0,0,0,48
58,"Non-Travel","Research & Development",5,4,4,"Male",1,2,2,"H","N",3,"Y","Customercare Representative",5660,17056,2,"Yes",13,4,1,"H",12,"Y",3,5,3,1,2,91
27,"Travel_Rarely","Sales",25,3,4,"Male",3,2,2,"L","Y",2,"Y","Sales Executive",4105,5099,1,"No",14,1,0,"L",7,"Y",3,7,7,0,7,53
