"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
38,"Travel_Rarely","Production",20,3,1,"Male",3,2,1,"L","N",3,"Y","Production Supervisors",6693,7362,9,"No",18,4,0,"L",10,"Y",2,10,4,2,6,40
33,"Travel_Frequently","Research & Development",17,4,4,"Female",3,3,2,"H","N",2,"Y","Manager",11878,23364,6,"No",11,2,2,"H",12,"Y",3,10,6,8,8,72
39,"Travel_Rarely","Production",14,3,4,"Male",3,1,1,"H","N",1,"N","Machinists",2404,4303,7,"Yes",21,4,0,"L",8,"N",1,2,2,2,2,37
29,"Travel_Rarely","Finance",21,3,2,"Male",3,3,2,"H","N",3,"Y","Accountant",9218,10140,8,"Yes",18,1,1,"H",8,"N",3,4,6,1,4,35
54,"Travel_Frequently","Finance",23,4,2,"Male",2,3,3,"L","Y",1,"Y","Accountant",8424,9266,4,"No",19,1,0,"L",7,"Y",3,2,5,3,3,55
38,"Travel_Rarely","Research & Development",23,3,2,"Male",1,2,1,"L","Y",3,"N","Customercare Representative",5811,24539,6,"Yes",16,3,1,"L",15,"N",3,1,0,1,0,39
24,"Travel_Rarely","Research & Development",21,3,2,"Male",4,1,2,"H","N",3,"Y","Research and Design Specialists",2725,21630,3,"Yes",11,2,2,"L",6,"Y",3,6,5,1,4,59
23,"Travel_Rarely","Production",4,1,2,"Male",3,1,2,"H","N",3,"Y","Machinists",2500,4344,6,"No",14,4,1,"L",5,"Y",4,4,3,0,2,61
34,"Travel_Rarely","Research & Development",11,5,2,"Male",3,1,4,"H","N",2,"Y","Research and Design Specialists",2691,7660,2,"No",12,4,1,"L",10,"Y",2,10,9,8,8,67
23,"Travel_Rarely","Production",2,3,3,"Male",4,1,2,"H","Y",2,"Y","Machinists",1601,3445,1,"Yes",21,3,2,"L",1,"Y",3,0,0,0,0,52
24,"Travel_Rarely","Sales",7,2,1,"Female",3,2,2,"H","N",3,"Y","Sales Executive",4999,17519,0,"No",21,1,1,"H",4,"Y",2,3,2,0,2,66
37,"Travel_Rarely","Research & Development",8,4,4,"Male",3,2,2,"L","N",3,"N","Research and Design Specialists",4284,13588,1,"Yes",22,3,1,"H",16,"N",3,5,3,0,4,42
33,"Travel_Rarely","Production",15,3,3,"Male",3,1,2,"H","N",2,"N","Machinists",2496,6670,4,"No",11,4,0,"H",7,"Y",3,1,1,0,0,72
52,"Travel_Frequently","Research & Development",24,2,4,"Female",4,4,1,"H","Y",2,"Y","Manufacturing Director",13247,9731,9,"Yes",11,2,1,"H",24,"N",2,5,3,0,2,47
42,"Travel_Rarely","Human Resources",1,1,3,"Male",3,1,2,"H","Y",3,"Y","Human Resources",2696,24017,0,"Yes",11,3,1,"L",4,"Y",3,3,2,1,0,60
36,"Travel_Rarely","Production",16,3,4,"Male",3,1,2,"H","N",3,"Y","Machinists",3210,20251,0,"No",11,3,1,"L",16,"Y",3,15,13,10,11,60
35,"Travel_Frequently","Sales",9,5,2,"Male",3,3,2,"H","N",2,"Y","Sales Executive",9069,11031,1,"No",22,4,1,"L",9,"Y",2,9,8,1,8,58
43,"Travel_Rarely","Sales",5,3,3,"Male",2,3,4,"L","Y",2,"Y","Sales Executive",10798,5268,4,"No",13,3,1,"L",18,"Y",3,1,0,0,0,63
40,"Travel_Frequently","Research & Development",1,2,3,"Female",4,2,2,"H","Y",1,"Y","Customercare Representative",4244,9931,2,"No",24,4,1,"L",8,"Y",3,8,7,3,7,66
33,"Travel_Rarely","Research & Development",18,1,2,"Male",3,3,1,"L","N",2,"Y","Manager",13610,24619,7,"Yes",12,4,0,"L",15,"N",4,7,6,7,7,22
40,"Travel_Rarely","Production",3,2,3,"Female",3,1,4,"L","Y",2,"Y","Machinists",3377,25605,4,"No",17,4,1,"H",7,"Y",2,4,3,0,2,63
26,"Travel_Rarely","Production",22,2,1,"Male",2,1,2,"L","Y",2,"Y","Machinists",3955,11141,2,"No",16,1,2,"L",6,"Y",3,5,3,1,3,61
32,"Non-Travel","Sales",24,4,4,"Male",4,2,2,"L","N",2,"N","Sales Executive",4707,23914,5,"No",12,4,0,"L",6,"N",3,4,2,1,2,42
28,"Non-Travel","Production",8,3,3,"Female",1,2,1,"L","Y",3,"Y","Machinists",6674,16392,7,"No",11,1,3,"H",10,"N",3,9,8,7,5,47
27,"Travel_Rarely","Finance",9,4,2,"Male",3,2,1,"L","Y",3,"Y","Accountant",8980,9878,9,"Yes",15,2,0,"L",10,"Y",3,10,4,1,6,62
52,"Travel_Rarely","Production",13,4,3,"Female",3,1,1,"L","N",1,"N","Machinists",2950,17363,2,"No",13,3,0,"L",12,"N",1,5,4,0,4,31
54,"Travel_Rarely","Research & Development",1,4,1,"Female",3,3,2,"H","N",2,"N","Research Director",13549,24001,9,"No",12,1,1,"H",16,"Y",1,4,3,0,3,61
38,"Travel_Rarely","Research & Development",21,1,3,"Female",2,3,2,"L","N",3,"Y","Customercare Representative",8823,24608,3,"No",18,1,1,"L",20,"N",2,19,9,1,9,33
53,"Travel_Rarely","Sales",23,4,1,"Male",3,3,2,"L","N",3,"Y","Sales Executive",10448,5843,9,"Yes",13,2,0,"H",15,"N",2,2,2,2,2,24
36,"Travel_Rarely","Research & Development",17,4,4,"Female",3,2,3,"L","Y",1,"Y","Research and Design Specialists",6962,19573,1,"Yes",22,4,1,"H",15,"Y",3,1,0,0,0,75
52,"Travel_Rarely","Finance",13,4,1,"Male",2,3,1,"L","N",3,"Y","Accountant",9092,10001,8,"No",18,4,1,"L",6,"N",1,5,4,2,7,49
43,"Travel_Frequently","Production",1,4,2,"Male",2,5,2,"L","Y",1,"Y","Production Supervisors",7186,8623,1,"No",17,1,0,"L",7,"Y",1,7,5,1,5,58
32,"Travel_Rarely","Sales",15,2,3,"Female",2,2,1,"L","Y",3,"N","Sales Executive",5228,24624,1,"Yes",11,4,0,"L",13,"N",3,13,12,11,9,35
39,"Travel_Rarely","Research & Development",17,4,3,"Female",2,4,2,"L","N",3,"Y","Manager",17123,17334,5,"Yes",13,4,2,"L",21,"Y",3,19,9,15,2,57
49,"Travel_Rarely","Research & Development",2,4,1,"Male",3,2,4,"L","Y",3,"Y","Customercare Representative",6651,21534,3,"No",14,2,1,"H",20,"Y",2,3,2,1,2,74
35,"Travel_Rarely","Production",17,3,4,"Male",2,1,2,"L","N",3,"Y","Machinists",2450,21731,3,"No",19,2,0,"H",3,"Y",3,3,0,1,2,73
46,"Travel_Rarely","Research & Development",9,3,1,"Male",3,4,2,"H","N",2,"Y","Research Director",17861,2288,6,"No",13,3,0,"L",26,"Y",1,3,2,0,1,53
45,"Travel_Rarely","Finance",21,4,1,"Male",3,3,2,"L","N",2,"N","Accountant",8140,8954,1,"Yes",18,3,0,"H",9,"Y",1,8,2,1,6,32
24,"Travel_Rarely","Research & Development",6,3,3,"Male",4,1,2,"L","N",3,"N","Research and Design Specialists",4401,17616,1,"No",16,4,1,"L",5,"N",3,5,3,0,4,36
34,"Travel_Rarely","Sales",24,3,4,"Male",2,3,2,"L","Y",1,"Y","Sales Executive",7083,12288,6,"Yes",14,4,0,"H",10,"Y",3,10,9,8,6,73
