"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
28,"Travel_Rarely","Finance",11,4,2,"Male",2,3,1,"L","Y",3,"N","Accountant",8292,9121,2,"No",19,1,0,"L",10,"Y",1,4,4,1,7,83
35,"Travel_Rarely","Sales",18,3,3,"Female",3,2,1,"L","N",1,"N","Sales Executive",4601,6179,6,"No",16,2,0,"L",5,"N",3,5,2,1,0,40
44,"Travel_Rarely","Sales",14,3,2,"Male",3,5,2,"L","Y",3,"Y","Manager",18213,8751,6,"No",11,3,1,"H",26,"N",3,22,9,3,10,49
26,"Travel_Frequently","Research & Development",13,2,3,"Female",2,1,2,"L","N",3,"N","Research and Design Specialists",2366,20898,6,"Yes",14,1,1,"L",8,"N",3,8,7,1,7,46
19,"Travel_Rarely","Human Resources",14,2,1,"Male",2,1,1,"L","N",2,"N","Human Resources",2564,18437,1,"No",12,3,0,"L",1,"N",4,1,0,0,0,29
42,"Travel_Rarely","Research & Development",2,2,4,"Male",2,5,4,"L","Y",3,"Y","Manager",19613,26362,6,"No",22,4,0,"H",24,"Y",3,1,0,0,1,79
27,"Travel_Rarely","Production",19,4,4,"Female",3,1,2,"L","N",3,"N","Machinists",2341,19715,1,"No",13,4,1,"L",1,"N",3,1,0,0,0,48
47,"Non-Travel","Research & Development",12,4,3,"Male",3,2,2,"L","Y",3,"Y","Research and Design Specialists",5467,2125,7,"No",18,3,1,"L",16,"Y",4,8,7,1,7,66
35,"Travel_Frequently","IT_Support",6,4,4,"Female",4,2,2,"L","N",2,"N","Accountant",NA,6582,6,"No",22,2,1,"L",1,"Y",3,1,0,0,0,73
21,"Travel_Rarely","Research & Development",24,1,3,"Male",3,1,3,"L","N",1,"Y","Research and Design Specialists",3117,26009,1,"No",18,3,0,"H",3,"Y",3,2,2,2,2,84
53,"Travel_Rarely","Finance",7,3,2,"Male",2,2,1,"L","Y",2,"Y","Accountant",8144,8958,8,"Yes",16,4,0,"L",10,"N",3,6,4,1,7,62
34,"Non-Travel","Research & Development",21,4,4,"Male",1,1,2,"L","N",1,"N","Research and Design Specialists",2307,14460,5,"Yes",23,2,1,"L",5,"N",3,5,2,3,0,11
46,"Travel_Frequently","Production",4,3,2,"Male",4,3,3,"L","N",2,"N","Production Supervisors",5100,5610,2,"Yes",20,2,0,"H",5,"Y",3,10,2,3,7,40
34,"Travel_Rarely","Finance",19,4,1,"Male",2,3,1,"L","Y",3,"Y","Accountant",9665,10632,8,"Yes",20,3,0,"L",10,"Y",2,8,3,2,6,70
36,"Travel_Frequently","Sales",1,4,1,"Male",2,3,4,"H","Y",2,"Y","Sales Executive",9699,7246,4,"No",11,1,1,"H",16,"Y",3,13,9,1,12,69
