"Age","BusinessTravel","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","JobInvolvement","JobLevel","JobRotation","FeedbackFromManager","Mentoring","Proactivity","Autonomy","JobRole","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","RelationshipSatisfaction","StockOptionLevel","Tools","TotalWorkingYears","Training","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Performance"
40,"Travel_Rarely","Research & Development",10,4,1,"Male",3,4,2,"L","N",2,"Y","Manager",16823,18991,2,"No",11,1,1,"H",22,"N",3,19,7,11,16,46
25,"Travel_Rarely","Research & Development",11,1,4,"Male",2,1,2,"L","N",3,"N","Research and Design Specialists",2889,26897,1,"No",11,3,2,"L",2,"N",3,2,2,2,1,43
37,"Travel_Rarely","Human Resources",15,2,3,"Male",3,2,2,"L","Y",1,"Y","Human Resources",4071,12832,5,"No",13,3,0,"H",19,"N",2,10,0,4,7,48
44,"Travel_Frequently","Sales",6,2,2,"Female",3,3,1,"H","Y",3,"N","Manufacturing Director",NA,5504,6,"No",19,2,1,"H",10,"N",2,6,4,3,3,68
42,"Travel_Frequently","Research & Development",25,3,3,"Male",4,1,2,"L","N",3,"N","Research and Design Specialists",2759,20366,4,"Yes",12,4,0,"L",7,"N",3,2,2,2,2,42
37,"Travel_Frequently","Production",25,3,1,"Male",3,1,1,"L","N",2,"Y","Production Supervisors",6698,7368,5,"No",18,4,0,"L",5,"Y",3,6,6,1,4,38
22,"Travel_Rarely","Production",6,1,3,"Male",3,1,2,"L","Y",3,"N","Machinists",2523,19299,0,"No",14,3,1,"L",3,"N",3,2,1,2,1,44
38,"Travel_Rarely","Research & Development",12,2,3,"Male",2,3,2,"L","N",2,"N","Research Director",11510,15682,0,"Yes",14,2,1,"L",12,"N",3,11,10,2,9,44
37,"Non-Travel","Research & Development",25,4,1,"Female",3,3,1,"H","N",2,"Y","Research Director",13603,11677,2,"Yes",18,1,2,"L",15,"Y",3,5,2,0,2,55
30,"Travel_Rarely","Production",20,3,4,"Male",1,1,2,"H","Y",2,"Y","Machinists",3833,24375,6,"No",21,3,2,"H",7,"Y",3,2,2,0,2,73
40,"Travel_Rarely","Sales",11,3,2,"Female",4,4,4,"L","Y",2,"Y","IT specialists",8070,8877,3,"No",15,1,0,"L",7,"Y",3,5,4,1,4,66
